"시도별(1)","장애유형별(1)","시점","장애정도별(1)","항목",데이터
"전국","합계","2019","총계","소계",2618918
"전국","합계","2019","총계","남자",1513206
"전국","합계","2019","총계","여자",1105712
"전국","합계","2019","심한장애","소계",985403
"전국","합계","2019","심한장애","남자",585734
"전국","합계","2019","심한장애","여자",399669
"전국","합계","2019","심하지않은장애","소계",1633515
"전국","합계","2019","심하지않은장애","남자",927472
"전국","합계","2019","심하지않은장애","여자",706043
"전국","합계","2020","총계","소계",2633026
"전국","합계","2020","총계","남자",1521260
"전국","합계","2020","총계","여자",1111766
"전국","합계","2020","심한장애","소계",984965
"전국","합계","2020","심한장애","남자",585769
"전국","합계","2020","심한장애","여자",399196
"전국","합계","2020","심하지않은장애","소계",1648061
"전국","합계","2020","심하지않은장애","남자",935491
"전국","합계","2020","심하지않은장애","여자",712570
"전국","합계","2021","총계","소계",2644700
"전국","합계","2021","총계","남자",1528280
"전국","합계","2021","총계","여자",1116420
"전국","합계","2021","심한장애","소계",984813
"전국","합계","2021","심한장애","남자",586019
"전국","합계","2021","심한장애","여자",398794
"전국","합계","2021","심하지않은장애","소계",1659887
"전국","합계","2021","심하지않은장애","남자",942261
"전국","합계","2021","심하지않은장애","여자",717626
"전국","합계","2022","총계","소계",2652860
"전국","합계","2022","총계","남자",1534655
"전국","합계","2022","총계","여자",1118205
"전국","합계","2022","심한장애","소계",983928
"전국","합계","2022","심한장애","남자",586421
"전국","합계","2022","심한장애","여자",397507
"전국","합계","2022","심하지않은장애","소계",1668932
"전국","합계","2022","심하지않은장애","남자",948234
"전국","합계","2022","심하지않은장애","여자",720698
"전국","지체","2019","총계","소계",1223135
"전국","지체","2019","총계","남자",708246
"전국","지체","2019","총계","여자",514889
"전국","지체","2019","심한장애","소계",240781
"전국","지체","2019","심한장애","남자",158257
"전국","지체","2019","심한장애","여자",82524
"전국","지체","2019","심하지않은장애","소계",982354
"전국","지체","2019","심하지않은장애","남자",549989
"전국","지체","2019","심하지않은장애","여자",432365
"전국","지체","2020","총계","소계",1207368
"전국","지체","2020","총계","남자",699726
"전국","지체","2020","총계","여자",507642
"전국","지체","2020","심한장애","소계",236694
"전국","지체","2020","심한장애","남자",155408
"전국","지체","2020","심한장애","여자",81286
"전국","지체","2020","심하지않은장애","소계",970674
"전국","지체","2020","심하지않은장애","남자",544318
"전국","지체","2020","심하지않은장애","여자",426356
"전국","지체","2021","총계","소계",1191462
"전국","지체","2021","총계","남자",691136
"전국","지체","2021","총계","여자",500326
"전국","지체","2021","심한장애","소계",232362
"전국","지체","2021","심한장애","남자",152432
"전국","지체","2021","심한장애","여자",79930
"전국","지체","2021","심하지않은장애","소계",959100
"전국","지체","2021","심하지않은장애","남자",538704
"전국","지체","2021","심하지않은장애","여자",420396
"전국","지체","2022","총계","소계",1176291
"전국","지체","2022","총계","남자",683183
"전국","지체","2022","총계","여자",493108
"전국","지체","2022","심한장애","소계",228241
"전국","지체","2022","심한장애","남자",149627
"전국","지체","2022","심한장애","여자",78614
"전국","지체","2022","심하지않은장애","소계",948050
"전국","지체","2022","심하지않은장애","남자",533556
"전국","지체","2022","심하지않은장애","여자",414494
"전국","시각","2019","총계","소계",253055
"전국","시각","2019","총계","남자",150261
"전국","시각","2019","총계","여자",102794
"전국","시각","2019","심한장애","소계",48620
"전국","시각","2019","심한장애","남자",24643
"전국","시각","2019","심한장애","여자",23977
"전국","시각","2019","심하지않은장애","소계",204435
"전국","시각","2019","심하지않은장애","남자",125618
"전국","시각","2019","심하지않은장애","여자",78817
"전국","시각","2020","총계","소계",252324
"전국","시각","2020","총계","남자",149737
"전국","시각","2020","총계","여자",102587
"전국","시각","2020","심한장애","소계",47716
"전국","시각","2020","심한장애","남자",24184
"전국","시각","2020","심한장애","여자",23532
"전국","시각","2020","심하지않은장애","소계",204608
"전국","시각","2020","심하지않은장애","남자",125553
"전국","시각","2020","심하지않은장애","여자",79055
"전국","시각","2021","총계","소계",251620
"전국","시각","2021","총계","남자",149321
"전국","시각","2021","총계","여자",102299
"전국","시각","2021","심한장애","소계",47022
"전국","시각","2021","심한장애","남자",23883
"전국","시각","2021","심한장애","여자",23139
"전국","시각","2021","심하지않은장애","소계",204598
"전국","시각","2021","심하지않은장애","남자",125438
"전국","시각","2021","심하지않은장애","여자",79160
"전국","시각","2022","총계","소계",250767
"전국","시각","2022","총계","남자",148909
"전국","시각","2022","총계","여자",101858
"전국","시각","2022","심한장애","소계",46427
"전국","시각","2022","심한장애","남자",23621
"전국","시각","2022","심한장애","여자",22806
"전국","시각","2022","심하지않은장애","소계",204340
"전국","시각","2022","심하지않은장애","남자",125288
"전국","시각","2022","심하지않은장애","여자",79052
"전국","청각","2019","총계","소계",377094
"전국","청각","2019","총계","남자",199074
"전국","청각","2019","총계","여자",178020
"전국","청각","2019","심한장애","소계",94735
"전국","청각","2019","심한장애","남자",50462
"전국","청각","2019","심한장애","여자",44273
"전국","청각","2019","심하지않은장애","소계",282359
"전국","청각","2019","심하지않은장애","남자",148612
"전국","청각","2019","심하지않은장애","여자",133747
"전국","청각","2020","총계","소계",395789
"전국","청각","2020","총계","남자",208604
"전국","청각","2020","총계","여자",187185
"전국","청각","2020","심한장애","소계",92951
"전국","청각","2020","심한장애","남자",49340
"전국","청각","2020","심한장애","여자",43611
"전국","청각","2020","심하지않은장애","소계",302838
"전국","청각","2020","심하지않은장애","남자",159264
"전국","청각","2020","심하지않은장애","여자",143574
"전국","청각","2021","총계","소계",411749
"전국","청각","2021","총계","남자",216505
"전국","청각","2021","총계","여자",195244
"전국","청각","2021","심한장애","소계",90756
"전국","청각","2021","심한장애","남자",47961
"전국","청각","2021","심한장애","여자",42795
"전국","청각","2021","심하지않은장애","소계",320993
"전국","청각","2021","심하지않은장애","남자",168544
"전국","청각","2021","심하지않은장애","여자",152449
"전국","청각","2022","총계","소계",425224
"전국","청각","2022","총계","남자",223500
"전국","청각","2022","총계","여자",201724
"전국","청각","2022","심한장애","소계",88668
"전국","청각","2022","심한장애","남자",46712
"전국","청각","2022","심한장애","여자",41956
"전국","청각","2022","심하지않은장애","소계",336556
"전국","청각","2022","심하지않은장애","남자",176788
"전국","청각","2022","심하지않은장애","여자",159768
"전국","언어","2019","총계","소계",21485
"전국","언어","2019","총계","남자",15363
"전국","언어","2019","총계","여자",6122
"전국","언어","2019","심한장애","소계",10949
"전국","언어","2019","심한장애","남자",7851
"전국","언어","2019","심한장애","여자",3098
"전국","언어","2019","심하지않은장애","소계",10536
"전국","언어","2019","심하지않은장애","남자",7512
"전국","언어","2019","심하지않은장애","여자",3024
"전국","언어","2020","총계","소계",22391
"전국","언어","2020","총계","남자",15949
"전국","언어","2020","총계","여자",6442
"전국","언어","2020","심한장애","소계",11300
"전국","언어","2020","심한장애","남자",8060
"전국","언어","2020","심한장애","여자",3240
"전국","언어","2020","심하지않은장애","소계",11091
"전국","언어","2020","심하지않은장애","남자",7889
"전국","언어","2020","심하지않은장애","여자",3202
"전국","언어","2021","총계","소계",23064
"전국","언어","2021","총계","남자",16374
"전국","언어","2021","총계","여자",6690
"전국","언어","2021","심한장애","소계",11464
"전국","언어","2021","심한장애","남자",8092
"전국","언어","2021","심한장애","여자",3372
"전국","언어","2021","심하지않은장애","소계",11600
"전국","언어","2021","심하지않은장애","남자",8282
"전국","언어","2021","심하지않은장애","여자",3318
"전국","언어","2022","총계","소계",23349
"전국","언어","2022","총계","남자",16581
"전국","언어","2022","총계","여자",6768
"전국","언어","2022","심한장애","소계",11619
"전국","언어","2022","심한장애","남자",8184
"전국","언어","2022","심한장애","여자",3435
"전국","언어","2022","심하지않은장애","소계",11730
"전국","언어","2022","심하지않은장애","남자",8397
"전국","언어","2022","심하지않은장애","여자",3333
"전국","지적","2019","총계","소계",212936
"전국","지적","2019","총계","남자",128332
"전국","지적","2019","총계","여자",84604
"전국","지적","2019","심한장애","소계",212936
"전국","지적","2019","심한장애","남자",128332
"전국","지적","2019","심한장애","여자",84604
"전국","지적","2019","심하지않은장애","소계",0
"전국","지적","2019","심하지않은장애","남자",0
"전국","지적","2019","심하지않은장애","여자",0
"전국","지적","2020","총계","소계",217108
"전국","지적","2020","총계","남자",130767
"전국","지적","2020","총계","여자",86341
"전국","지적","2020","심한장애","소계",217108
"전국","지적","2020","심한장애","남자",130767
"전국","지적","2020","심한장애","여자",86341
"전국","지적","2020","심하지않은장애","소계",0
"전국","지적","2020","심하지않은장애","남자",0
"전국","지적","2020","심하지않은장애","여자",0
"전국","지적","2021","총계","소계",221557
"전국","지적","2021","총계","남자",133375
"전국","지적","2021","총계","여자",88182
"전국","지적","2021","심한장애","소계",221557
"전국","지적","2021","심한장애","남자",133375
"전국","지적","2021","심한장애","여자",88182
"전국","지적","2021","심하지않은장애","소계",0
"전국","지적","2021","심하지않은장애","남자",0
"전국","지적","2021","심하지않은장애","여자",0
"전국","지적","2022","총계","소계",225708
"전국","지적","2022","총계","남자",135959
"전국","지적","2022","총계","여자",89749
"전국","지적","2022","심한장애","소계",225708
"전국","지적","2022","심한장애","남자",135959
"전국","지적","2022","심한장애","여자",89749
"전국","지적","2022","심하지않은장애","소계",0
"전국","지적","2022","심하지않은장애","남자",0
"전국","지적","2022","심하지않은장애","여자",0
"전국","뇌병변","2019","총계","소계",252188
"전국","뇌병변","2019","총계","남자",144617
"전국","뇌병변","2019","총계","여자",107571
"전국","뇌병변","2019","심한장애","소계",155292
"전국","뇌병변","2019","심한장애","남자",84042
"전국","뇌병변","2019","심한장애","여자",71250
"전국","뇌병변","2019","심하지않은장애","소계",96896
"전국","뇌병변","2019","심하지않은장애","남자",60575
"전국","뇌병변","2019","심하지않은장애","여자",36321
"전국","뇌병변","2020","총계","소계",250407
"전국","뇌병변","2020","총계","남자",143703
"전국","뇌병변","2020","총계","여자",106704
"전국","뇌병변","2020","심한장애","소계",150827
"전국","뇌병변","2020","심한장애","남자",81735
"전국","뇌병변","2020","심한장애","여자",69092
"전국","뇌병변","2020","심하지않은장애","소계",99580
